edad.rango,sexo,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
0,F,5348,2020-08-31,2020-08-30,154,998,3830,520,1,4734,0,0.001,0.001,0.211,311,0.312,17,0.017,6,0.006,3.7,2.7,4.7,21
0,M,6025,2020-08-31,2020-08-30,163,1063,4409,553,3,5356,0,0.002,0.003,0.198,346,0.325,31,0.029,12,0.011,4.7,2.6,4.4,31
0,NR,426,2020-08-31,2020-08-29,115,65,284,77,1,345,0,0.007,0.015,0.188,22,0.338,4,0.062,1,0.015,3.5,2.7,1.3,NaN
1-9,F,30531,2020-08-31,2020-08-30,175,6719,21722,2089,7,27706,1,0.001,0.001,0.243,742,0.11,33,0.005,13,0.002,4.4,3.1,3.3,23.4
1-9,M,33499,2020-08-31,2020-08-30,175,7094,24191,2212,3,30501,2,0,0,0.233,770,0.109,23,0.003,9,0.001,4.4,3,4.5,7.3
1-9,NR,158,2020-08-30,2020-08-28,69,34,98,26,0,129,0,0,0,0.264,5,0.147,0,0,0,0,5.5,2.6,NaN,NaN
10-14,F,13719,2020-08-31,2020-08-30,172,4599,8121,999,1,12304,0,0,0,0.374,331,0.072,6,0.001,1,0,4.7,3.8,3.6,24
10-14,M,13424,2020-08-31,2020-08-30,170,4378,8050,996,2,12062,0,0,0,0.363,326,0.074,10,0.002,4,0.001,4.7,3.6,10.1,8
10-14,NR,64,2020-08-28,2020-08-28,42,18,34,12,0,50,0,0,0,0.36,1,0.056,0,0,0,0,3.1,2.5,NaN,NaN
15-19,F,24734,2020-08-31,2020-08-30,176,8767,13850,2117,8,22089,0,0.001,0.001,0.397,567,0.065,21,0.002,6,0.001,5.4,4.1,3,18.2
15-19,M,21006,2020-08-31,2020-08-30,174,7956,11353,1697,4,18846,0,0,0.001,0.422,464,0.058,13,0.002,4,0.001,5.2,4.1,2.5,19.5
15-19,NR,117,2020-08-29,2020-08-26,57,44,51,22,0,93,0,0,0,0.473,3,0.068,0,0,0,0,4.5,3.6,NaN,NaN
20-24,F,49556,2020-08-31,2020-08-30,174,17156,28068,4329,10,44387,3,0,0.001,0.387,997,0.058,21,0.001,6,0,5.8,4.2,4.8,15.3
20-24,M,49100,2020-08-31,2020-08-31,182,17329,27350,4417,9,44001,4,0,0.001,0.394,908,0.052,27,0.002,7,0,5.4,3.9,5.1,20.4
20-24,NR,286,2020-08-30,2020-08-25,97,100,136,50,0,232,0,0,0,0.431,3,0.03,0,0,0,0,4.9,4.5,NaN,NaN
25-29,F,73155,2020-08-31,2020-08-30,176,24515,42239,6398,20,65719,3,0.001,0.001,0.373,1551,0.063,44,0.002,8,0,5.9,4,4,19.8
25-29,M,70585,2020-08-31,2020-08-30,178,25086,38816,6679,30,62992,4,0.001,0.001,0.398,1454,0.058,47,0.002,21,0.001,5.5,3.7,4.2,14.4
25-29,NR,388,2020-08-31,2020-08-29,114,155,176,57,0,323,0,0,0,0.48,7,0.045,0,0,0,0,6.6,5.8,NaN,NaN
30-34,F,75171,2020-08-31,2020-08-30,179,24695,43722,6754,26,67426,0,0.001,0.001,0.366,1757,0.071,50,0.002,18,0.001,6,3.9,5.9,16.2
30-34,M,73760,2020-08-31,2020-08-30,179,26708,39977,7070,40,65775,5,0.001,0.001,0.406,1749,0.065,76,0.003,27,0.001,5.5,3.8,6.7,16.4
30-34,NR,367,2020-08-30,2020-08-29,98,119,182,66,0,298,0,0,0,0.399,4,0.034,0,0,0,0,6.8,4.4,NaN,NaN
35-39,F,67671,2020-08-31,2020-08-30,176,21925,39736,6010,41,60759,0,0.001,0.002,0.361,1493,0.068,58,0.003,14,0.001,6.2,3.9,5.1,15.1
35-39,M,67069,2020-08-31,2020-08-30,177,24290,36287,6490,69,59765,2,0.002,0.003,0.406,1724,0.071,125,0.005,47,0.002,5.5,3.8,5.5,14.9
35-39,NR,273,2020-08-30,2020-08-26,93,107,127,39,0,226,0,0,0,0.473,5,0.047,1,0.009,1,0.009,5.4,4,4,NaN
40-44,F,62494,2020-08-31,2020-08-30,179,20507,36380,5606,52,56076,1,0.002,0.003,0.366,1490,0.073,66,0.003,18,0.001,6.1,3.9,5.9,16.9
40-44,M,60149,2020-08-31,2020-08-30,177,21961,32385,5802,99,53654,1,0.004,0.005,0.409,1797,0.082,171,0.008,63,0.003,5.6,3.9,6.5,16.2
40-44,NR,231,2020-08-31,2020-08-27,91,85,103,43,0,183,0,0,0,0.464,4,0.047,0,0,0,0,4.9,4.6,NaN,NaN
45-49,F,50374,2020-08-31,2020-08-30,177,17364,28589,4421,88,45280,0,0.004,0.005,0.383,1452,0.084,111,0.006,53,0.003,6,4,5.6,15.8
45-49,M,47724,2020-08-31,2020-08-30,178,18304,25104,4315,200,42831,1,0.009,0.011,0.427,1887,0.103,234,0.013,124,0.007,5.7,4,6.4,18
45-49,NR,175,2020-08-30,2020-08-29,75,72,68,35,0,139,0,0,0,0.518,6,0.083,1,0.014,0,0,7.3,4,11,NaN
50-54,F,40745,2020-08-31,2020-08-30,178,14226,23066,3453,103,36818,0,0.006,0.007,0.386,1328,0.093,127,0.009,51,0.004,6.1,4.1,7.2,16.4
50-54,M,38487,2020-08-31,2020-08-30,180,15276,19826,3385,274,34656,0,0.015,0.018,0.441,1806,0.118,278,0.018,144,0.009,5.8,4.1,7.2,18.7
50-54,NR,166,2020-08-30,2020-08-27,73,63,73,30,1,136,0,0.011,0.016,0.463,6,0.095,0,0,0,0,5.3,4.3,NaN,19
55-59,F,31957,2020-08-31,2020-08-30,174,11318,17988,2651,160,28922,0,0.011,0.014,0.391,1210,0.107,153,0.014,76,0.007,6,4.1,5.1,16.2
55-59,M,31644,2020-08-31,2020-08-30,176,12590,16399,2654,375,28641,1,0.025,0.03,0.44,1904,0.151,344,0.027,188,0.015,6,4.3,7,17.4
55-59,NR,105,2020-08-30,2020-08-27,61,38,48,19,2,85,0,0.035,0.053,0.447,6,0.158,1,0.026,1,0.026,4,3.6,7,30.5
60-64,F,21164,2020-08-31,2020-08-30,173,7501,11923,1739,216,19193,1,0.023,0.029,0.391,1189,0.159,180,0.024,92,0.012,6,4.4,5.6,15.4
60-64,M,24221,2020-08-31,2020-08-30,177,9283,13049,1888,514,22112,1,0.046,0.055,0.42,1815,0.196,400,0.043,213,0.023,6.3,4.5,5.6,16.7
60-64,NR,115,2020-08-30,2020-08-25,58,47,44,24,1,90,0,0.014,0.021,0.522,8,0.17,1,0.021,1,0.021,7,5.3,25,47
65-69,F,15229,2020-08-31,2020-08-30,178,5261,8707,1261,338,13815,0,0.052,0.064,0.381,1092,0.208,210,0.04,107,0.02,6.3,4.6,6.6,15.9
65-69,M,18491,2020-08-31,2020-08-30,177,6490,10578,1422,634,16891,1,0.08,0.098,0.384,1734,0.267,436,0.067,250,0.039,6.7,4.6,6.1,17.5
65-69,NR,78,2020-08-30,2020-08-22,45,32,35,11,3,65,0,0.07,0.094,0.492,7,0.219,3,0.094,3,0.094,5,4.2,6.5,11.3
