residencia_provincia_nombre,edad.rango,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
Buenos Aires,0,3641,2020-07-19,2020-07-18,116,486,2755,400,1,3239,0,0.001,0.002,0.15,165,0.34,21,0.043,10,0.021,4.4,2.5,2.9,14
Buenos Aires,1-9,16395,2020-07-19,2020-07-19,129,2451,12400,1544,4,14820,0,0.001,0.002,0.165,335,0.137,19,0.008,4,0.002,4.7,2.9,3.4,28.5
Buenos Aires,10-14,5837,2020-07-19,2020-07-18,124,1491,3674,672,1,5149,0,0,0.001,0.29,137,0.092,6,0.004,2,0.001,5.2,3.6,2.5,8
Buenos Aires,15-19,9070,2020-07-19,2020-07-19,129,2860,5091,1119,3,7931,0,0.001,0.001,0.361,212,0.074,7,0.002,1,0,5.7,4.2,2,14
Buenos Aires,20-24,19349,2020-07-19,2020-07-18,135,5939,10833,2576,2,16731,1,0,0,0.355,483,0.081,18,0.003,5,0.001,5.5,4,3.1,8.5
Buenos Aires,25-29,28924,2020-07-19,2020-07-19,132,8714,16397,3813,11,25049,0,0.001,0.001,0.348,770,0.088,24,0.003,5,0.001,5.7,3.9,3.6,12.3
Buenos Aires,30-34,29754,2020-07-19,2020-07-19,134,8791,17134,3829,8,25871,0,0.001,0.001,0.34,874,0.099,30,0.003,9,0.001,5.7,3.9,4.7,9.6
Buenos Aires,35-39,27215,2020-07-19,2020-07-19,132,7866,15791,3558,17,23598,0,0.001,0.002,0.333,772,0.098,26,0.003,8,0.001,5.7,3.8,5.1,16.3
Buenos Aires,40-44,25068,2020-07-19,2020-07-19,134,7386,14421,3261,17,21767,0,0.002,0.002,0.339,822,0.111,54,0.007,18,0.002,5.8,4,5.9,13.9
Buenos Aires,45-49,20210,2020-07-19,2020-07-19,130,6237,11478,2495,41,17681,0,0.005,0.007,0.353,799,0.128,76,0.012,36,0.006,5.7,4,6.5,14.1
Buenos Aires,50-54,16137,2020-07-19,2020-07-19,135,5133,9069,1935,46,14177,0,0.007,0.009,0.362,726,0.141,80,0.016,34,0.007,6,4,6.2,16.6
Buenos Aires,55-59,12704,2020-07-19,2020-07-19,129,3910,7339,1455,63,11222,0,0.012,0.016,0.348,701,0.179,96,0.025,34,0.009,6.2,4.3,5.6,12.4
Buenos Aires,60-64,9128,2020-07-19,2020-07-19,129,2563,5555,1010,88,8094,0,0.025,0.034,0.317,618,0.241,115,0.045,51,0.02,6.4,4.4,5.4,13
Buenos Aires,65-69,7136,2020-07-19,2020-07-19,130,1806,4586,744,124,6377,0,0.049,0.069,0.283,529,0.293,123,0.068,63,0.035,6.9,4.5,4.6,14.9
Buenos Aires,70-74,5952,2020-07-19,2020-07-18,125,1367,3970,615,137,5326,0,0.069,0.1,0.257,510,0.373,123,0.09,47,0.034,7.2,4.3,5.3,16
Buenos Aires,75-79,5432,2020-07-19,2020-07-18,122,1136,3762,534,152,4886,0,0.091,0.134,0.233,441,0.388,106,0.093,44,0.039,7.1,4.3,4.8,10.9
Buenos Aires,80+,12129,2020-07-19,2020-07-19,122,2343,8623,1163,407,10939,0,0.116,0.174,0.214,912,0.389,188,0.08,54,0.023,6.7,3.4,3.1,12
Buenos Aires,NA,320,2020-07-19,2020-07-18,84,46,198,76,0,243,0,0,0,0.189,5,0.109,0,0,0,0,6.5,4.9,NaN,NaN
CABA,0,1477,2020-07-18,2020-07-19,109,413,924,140,0,1334,0,0,0,0.31,208,0.504,2,0.005,1,0.002,2.8,2.1,3.5,NaN
CABA,1-9,9861,2020-07-19,2020-07-19,132,3022,6269,570,0,9281,0,0,0,0.326,470,0.156,4,0.001,3,0.001,3.4,2.6,0,NaN
CABA,10-14,4304,2020-07-19,2020-07-18,124,1735,2342,227,0,4075,0,0,0,0.426,212,0.122,0,0,0,0,3.7,3.2,NaN,NaN
CABA,15-19,5170,2020-07-19,2020-07-18,126,2217,2695,258,0,4908,0,0,0,0.452,299,0.135,6,0.003,2,0.001,4.4,3.7,2,NaN
CABA,20-24,9107,2020-07-19,2020-07-19,133,3669,4930,508,1,8586,0,0,0,0.427,486,0.132,12,0.003,3,0.001,4.3,3.8,4.5,NaN
CABA,25-29,12889,2020-07-19,2020-07-19,133,4806,7162,921,1,11955,0,0,0,0.402,735,0.153,18,0.004,6,0.001,4.4,3.6,4.8,10
