residencia_provincia_nombre,fecha_apertura,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento,dias.inicio,confirmados.inc,confirmados.rate,fallecidos.inc,tests.inc,tests.rate,sospechosos.inc
Buenos Aires,2020-03-04,31,2020-03-10,2020-03-03,8,1,29,1,0,20,0,0,0,0.05,1,1,0,0,0,0,8,6,NA,NA,8,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-05,33,2020-03-10,2020-03-03,9,1,31,1,0,21,0,0,0,0.048,1,1,0,0,0,0,8,7,NA,NA,9,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-06,41,2020-03-13,2020-03-05,12,1,39,1,0,26,0,0,0,0.038,1,1,0,0,0,0,8,8,NA,NA,10,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-07,47,2020-03-15,2020-03-07,13,2,44,1,0,29,0,0,0,0.069,2,1,1,0.5,1,0.5,6,5.5,7,NA,11,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-08,50,2020-03-15,2020-03-07,15,2,47,1,0,32,0,0,0,0.062,2,1,1,0.5,1,0.5,6,6.5,7,NA,12,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-09,67,2020-07-29,2020-03-08,16,5,60,2,0,44,0,0,0,0.114,4,0.8,1,0.2,1,0.2,33.6,5.2,7,NA,13,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-10,87,2020-09-28,2020-03-09,20,7,77,3,0,62,0,0,0,0.113,6,0.857,1,0.143,1,0.143,26,5.9,7,NA,14,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-11,113,2020-09-28,2020-03-11,22,10,94,9,0,78,0,0,0,0.128,8,0.8,1,0.1,1,0.1,35,6,7,NA,15,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-12,160,2020-09-28,2020-03-12,25,17,132,11,1,116,0,0.036,0.059,0.147,15,0.882,2,0.118,2,0.118,33.5,5.5,5.5,19,16,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-13,226,2020-09-28,2020-07-11,30,26,187,13,2,168,0,0.051,0.077,0.155,24,0.923,3,0.115,3,0.115,32.3,0.8,5.7,14,17,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-14,251,2020-09-28,2020-07-11,30,29,209,13,2,189,0,0.048,0.069,0.153,27,0.931,4,0.138,3,0.103,29.4,1.8,4.5,14,18,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-15,279,2020-09-28,2020-07-11,31,36,230,13,2,213,0,0.041,0.056,0.169,33,0.917,4,0.111,3,0.083,26.2,2.6,4.5,14,19,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-16,328,2020-09-28,2020-07-11,36,46,267,15,3,254,0,0.049,0.065,0.181,39,0.848,6,0.13,4,0.087,22.1,3.3,4.5,15.3,20,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-17,391,2020-09-28,2020-07-11,41,58,315,18,4,299,0,0.053,0.069,0.194,49,0.845,7,0.121,5,0.086,26.7,4.1,5,15.5,21,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-18,483,2020-09-28,2020-07-11,44,70,388,25,4,359,0,0.042,0.057,0.195,60,0.857,9,0.129,6,0.086,25.4,4.7,4.7,15.5,22,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-19,551,2020-09-28,2020-07-11,45,80,442,29,4,403,0,0.037,0.05,0.199,67,0.838,9,0.112,6,0.075,25.6,5.9,4.7,15.5,23,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-20,634,2020-09-28,2020-07-11,46,99,499,36,4,470,0,0.03,0.04,0.211,82,0.828,12,0.121,7,0.071,22.1,6.4,8.3,15.5,24,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-21,710,2020-09-28,2020-07-11,52,122,548,40,4,540,0,0.025,0.033,0.226,96,0.787,13,0.107,7,0.057,20.2,6.7,8.5,15.5,25,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-22,796,2020-10-02,2020-07-11,59,150,604,42,6,613,0,0.031,0.04,0.245,113,0.753,14,0.093,8,0.053,19.8,7.1,7.9,18.3,26,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-23,894,2020-10-02,2020-07-11,64,177,672,45,9,698,0,0.041,0.051,0.254,133,0.751,18,0.102,12,0.068,20.1,7.4,7.6,20,27,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-24,991,2020-10-02,2020-07-11,67,204,738,49,11,778,0,0.043,0.054,0.262,154,0.755,20,0.098,14,0.069,19.6,7.7,6.8,17.7,28,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-25,1164,2020-10-02,2020-07-11,75,239,871,54,14,932,0,0.048,0.059,0.256,173,0.724,24,0.1,16,0.067,20.2,8.3,6,15.8,29,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-26,1341,2020-10-02,2020-07-11,83,269,1012,60,15,1086,0,0.046,0.056,0.248,190,0.706,25,0.093,17,0.063,21.3,8.8,6.4,16.1,30,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-27,1503,2020-10-02,2020-07-11,86,296,1142,65,17,1231,0,0.047,0.057,0.24,206,0.696,27,0.091,18,0.061,21.3,9.3,7.3,19.1,31,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-28,1663,2020-10-02,2020-07-11,89,321,1273,69,22,1377,0,0.056,0.069,0.233,229,0.713,34,0.106,22,0.069,21.2,9.8,7.1,19.4,32,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-29,1806,2020-10-02,2020-07-11,89,345,1392,69,23,1515,0,0.056,0.067,0.228,250,0.725,37,0.107,24,0.07,20.9,10.5,7.2,20.5,33,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-30,2024,2020-10-02,2020-07-11,97,377,1576,71,28,1723,0,0.062,0.074,0.219,275,0.729,43,0.114,29,0.077,21.5,10.9,7,19.9,34,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-03-31,2223,2020-10-05,2020-07-11,100,399,1745,79,34,1910,0,0.071,0.085,0.209,292,0.732,46,0.115,32,0.08,21.8,11.6,7,18.8,35,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-01,2592,2020-10-05,2020-07-11,103,423,2081,88,37,2263,0,0.072,0.087,0.187,308,0.728,49,0.116,34,0.08,22.4,12.3,7,18.4,36,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-02,2966,2020-10-05,2020-07-30,111,460,2409,97,40,2621,0,0.072,0.087,0.176,328,0.713,50,0.109,34,0.074,22.8,12.7,7,18.4,37,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-03,3384,2020-10-05,2020-07-30,120,499,2778,107,41,3016,0,0.068,0.082,0.165,352,0.705,52,0.104,36,0.072,23.4,13.1,6.8,18.1,38,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-04,3699,2020-10-05,2020-07-30,122,529,3054,116,44,3321,0,0.068,0.083,0.159,374,0.707,58,0.11,39,0.074,23.9,13.6,7.4,17.9,39,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-05,3943,2020-10-05,2020-07-30,125,540,3284,119,45,3559,0,0.068,0.083,0.152,382,0.707,61,0.113,41,0.076,24.2,14.3,7.2,17.7,40,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-06,4413,2020-10-05,2020-07-30,131,578,3704,131,55,4014,0,0.078,0.095,0.144,410,0.709,66,0.114,44,0.076,24.3,14.7,6.9,18.2,41,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-07,4813,2020-10-05,2020-07-30,136,610,4063,140,58,4402,0,0.077,0.095,0.139,425,0.697,71,0.116,48,0.079,25,15.2,7.4,18.4,42,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-08,5273,2020-10-06,2020-09-12,142,644,4477,152,62,4846,0,0.078,0.096,0.133,448,0.696,75,0.116,48,0.075,25.1,15.4,7.2,17.6,43,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-09,5771,2020-10-06,2020-09-12,150,676,4927,168,66,5321,0,0.078,0.098,0.127,465,0.688,76,0.112,49,0.072,26.2,15.9,7.1,19.7,44,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-10,6155,2020-10-06,2020-09-12,156,715,5265,175,69,5697,0,0.078,0.097,0.126,486,0.68,79,0.11,51,0.071,26,16.3,6.9,20.6,45,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-11,6547,2020-10-06,2020-09-12,159,758,5608,181,77,6083,0,0.082,0.102,0.125,513,0.677,84,0.111,53,0.07,25.9,16.6,6.7,20.1,46,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-12,6885,2020-10-06,2020-09-12,165,804,5896,185,79,6416,0,0.08,0.098,0.125,528,0.657,85,0.106,54,0.067,25.5,17,7.1,22.1,47,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-13,7550,2020-10-06,2020-09-12,171,871,6486,193,88,7071,0,0.083,0.101,0.123,562,0.645,91,0.104,59,0.068,25.6,17.1,7.3,23.2,48,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-14,8091,2020-10-06,2020-09-12,172,912,6975,204,93,7599,0,0.083,0.102,0.12,583,0.639,93,0.102,60,0.066,25.4,17.4,7.2,22.8,49,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-15,8742,2020-10-06,2020-09-12,176,972,7556,214,98,8234,0,0.083,0.101,0.118,606,0.623,93,0.096,60,0.062,25.8,17.5,7.2,22.9,50,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-16,9424,2020-10-06,2020-09-12,181,1025,8179,220,101,8908,0,0.081,0.099,0.115,628,0.613,93,0.091,60,0.059,26.1,17.8,7.2,23.3,51,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-17,10264,2020-10-06,2020-09-12,185,1096,8931,237,104,9727,0,0.078,0.095,0.113,659,0.601,96,0.088,61,0.056,26.6,17.7,8.5,23.8,52,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-18,10903,2020-10-06,2020-09-12,189,1149,9504,250,110,10349,0,0.079,0.096,0.111,689,0.6,102,0.089,62,0.054,26.5,18,9,23.3,53,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-19,11403,2020-10-06,2020-09-12,191,1196,9948,259,113,10839,0,0.078,0.094,0.11,713,0.596,106,0.089,64,0.054,26.7,18.5,8.9,23.3,54,NA,NA,NA,NA,NA,NA
Buenos Aires,2020-04-20,12488,2020-10-09,2020-09-21,196,1290,10914,284,121,11895,0,0.077,0.094,0.108,755,0.585,113,0.088,67,0.052,27,18.4,8.7,23.7,55,NA,NA,NA,NA,NA,NA
