residencia_provincia_nombre,residencia_departamento_nombre,sepi_apertura,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento,dias.inicio,confirmados.inc,confirmados.rate,fallecidos.inc,tests.inc,tests.rate,sospechosos.inc
Buenos Aires,25 de Mayo,22,36,2020-05-31,2020-05-25,25,1,34,1,0,35,0,0,0,0.029,0,0,0,0,0,0,2,1,NaN,NaN,8,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,23,40,2020-06-02,2020-06-03,26,1,37,2,0,38,0,0,0,0.026,0,0,0,0,0,0,2,1,NaN,NaN,9,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,24,48,2020-06-20,2020-06-17,32,2,44,2,0,46,0,0,0,0.043,1,0.5,0,0,0,0,2.5,-2,NaN,NaN,10,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,25,53,2020-06-26,2020-06-18,35,2,49,2,0,51,0,0,0,0.039,1,0.5,0,0,0,0,2.5,-2,NaN,NaN,11,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,26,59,2020-06-28,2020-06-26,38,3,53,3,0,56,0,0,0,0.054,2,0.667,0,0,0,0,2.3,-1.3,NaN,NaN,12,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,27,70,2020-07-05,2020-07-02,43,6,61,3,0,67,0,0,0,0.09,2,0.333,0,0,0,0,2.5,-0.5,NaN,NaN,13,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,28,76,2020-07-12,2020-07-09,46,6,66,4,0,72,0,0,0,0.083,2,0.333,0,0,0,0,2.5,-0.5,NaN,NaN,14,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,29,131,2020-07-22,2020-07-16,53,17,109,5,0,126,0,0,0,0.135,2,0.118,0,0,0,0,3.9,2.4,NaN,NaN,15,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,30,165,2020-07-26,2020-07-24,58,28,131,6,0,159,0,0,0,0.176,3,0.107,0,0,0,0,3.9,2.9,NaN,NaN,16,NA,NA,NA,NA,NA,NA
Buenos Aires,25 de Mayo,31,171,2020-07-28,2020-07-25,60,29,133,9,0,162,0,0,0,0.179,3,0.103,0,0,0,0,4,3,NaN,NaN,17,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,14,9,2020-04-08,2020-03-31,4,1,8,0,0,7,0,0,0,0.143,0,0,0,0,0,0,2,3,NaN,NaN,2,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,15,21,2020-04-10,2020-04-08,6,4,17,0,0,19,0,0,0,0.211,0,0,0,0,0,0,3.5,3.8,NaN,NaN,3,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,16,28,2020-04-19,2020-04-13,9,4,24,0,0,26,0,0,0,0.154,0,0,0,0,0,0,3.5,3.8,NaN,NaN,4,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,17,40,2020-04-26,2020-04-22,13,4,36,0,0,37,0,0,0,0.108,0,0,0,0,0,0,3.5,3.8,NaN,NaN,5,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,18,55,2020-05-02,2020-04-29,18,4,51,0,0,52,0,0,0,0.077,0,0,0,0,0,0,3.5,3.8,NaN,NaN,6,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,19,76,2020-05-12,2020-05-07,25,4,72,0,0,73,0,0,0,0.055,0,0,0,0,0,0,3.5,3.8,NaN,NaN,7,NA,NA,NA,NA,NA,NA
Buenos Aires,9 de Julio,20,84,2020-05-16,2020-05-14,28,4,80,0,0,81,0,0,0,0.049,0,0,0,0,0,0,3.5,3.8,NaN,NaN,8,NA,NA,NA,NA,NA,NA
