residencia_provincia_nombre,residencia_departamento_nombre,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
Buenos Aires,25 de Mayo,761,2020-09-30,2020-09-28,122,244,474,43,3,709,0,0.01,0.012,0.344,9,0.037,3,0.012,1,0.004,5,3.2,1,15
Buenos Aires,9 de Julio,1143,2020-09-29,2020-09-29,144,412,679,52,26,996,0,0.056,0.063,0.414,11,0.027,3,0.007,2,0.005,6.5,3.3,3,11.1
Buenos Aires,Adolfo Alsina,69,2020-09-18,2020-09-21,48,7,51,11,0,58,0,0,0,0.121,0,0,0,0,0,0,2.9,5,NaN,NaN
Buenos Aires,Adolfo Gonzales Chaves,101,2020-09-29,2020-09-27,55,16,63,22,0,78,0,0,0,0.205,3,0.188,0,0,0,0,4.5,4.2,NaN,NaN
Buenos Aires,Alberti,324,2020-09-29,2020-09-29,107,68,228,28,2,294,0,0.021,0.029,0.231,2,0.029,1,0.015,0,0,7.6,3,1,15.5
Buenos Aires,Almirante Brown,40462,2020-09-30,2020-09-29,198,17740,19816,2905,504,36793,1,0.024,0.028,0.482,1143,0.064,159,0.009,71,0.004,7.2,4.3,8.1,14.9
Buenos Aires,Arrecifes,911,2020-09-30,2020-09-28,122,419,363,129,4,738,0,0.007,0.01,0.568,28,0.067,4,0.01,1,0.002,11.2,3.1,4.8,28
Buenos Aires,Avellaneda,33237,2020-09-30,2020-09-30,197,14925,15619,2689,399,29195,4,0.023,0.027,0.511,1158,0.078,181,0.012,87,0.006,5.5,4.1,5,16.5
Buenos Aires,Ayacucho,730,2020-09-30,2020-09-28,124,125,579,25,2,683,1,0.013,0.016,0.183,11,0.088,1,0.008,0,0,4.9,3.2,1,5
Buenos Aires,Azul,2035,2020-09-29,2020-09-30,154,763,1155,116,5,1877,1,0.006,0.007,0.406,42,0.055,4,0.005,1,0.001,5.2,4.3,5.5,11
Buenos Aires,Bahía Blanca,8298,2020-09-30,2020-09-30,194,3113,3868,1312,33,6338,5,0.007,0.011,0.491,227,0.073,14,0.004,12,0.004,5,5,7.2,13.3
Buenos Aires,Balcarce,1418,2020-09-30,2020-09-29,144,358,994,66,3,1317,0,0.007,0.008,0.272,16,0.045,7,0.02,1,0.003,6.4,2.5,2.4,9
Buenos Aires,Baradero,1521,2020-09-30,2020-09-29,143,646,712,163,25,1336,0,0.031,0.039,0.484,23,0.036,4,0.006,0,0,8.1,3.6,2.5,21.3
Buenos Aires,Benito Juárez,421,2020-09-30,2020-09-29,91,116,265,40,0,379,0,0,0,0.306,8,0.069,1,0.009,0,0,5.9,3.3,0,NaN
Buenos Aires,Berazategui,22679,2020-09-30,2020-09-30,194,10071,10878,1721,285,20079,9,0.024,0.028,0.502,829,0.082,116,0.012,54,0.005,6,3.4,5.8,12.6
Buenos Aires,Berisso,5873,2020-09-30,2020-09-30,178,2096,3466,301,49,5399,10,0.02,0.023,0.388,168,0.08,46,0.022,9,0.004,5.8,3.1,3.8,12.8
Buenos Aires,Bolívar,960,2020-09-29,2020-09-29,141,81,856,23,1,932,0,0.01,0.012,0.087,6,0.074,1,0.012,0,0,3.2,2.4,1,58
Buenos Aires,Bragado,2054,2020-09-30,2020-09-28,144,1016,896,141,34,1813,1,0.029,0.033,0.56,35,0.034,3,0.003,1,0.001,5.8,4.6,8.3,12.9
Buenos Aires,Brandsen,1341,2020-09-30,2020-09-29,155,477,797,67,10,1190,0,0.018,0.021,0.401,145,0.304,5,0.01,1,0.002,4.5,3.3,4.4,25.9
Buenos Aires,Campana,5745,2020-09-30,2020-09-29,186,2157,2964,624,45,4617,0,0.016,0.021,0.467,110,0.051,37,0.017,8,0.004,5.5,3.3,5.8,17.3
Buenos Aires,Capitán Sarmiento,851,2020-09-30,2020-09-28,122,337,413,101,4,744,0,0.009,0.012,0.453,6,0.018,0,0,0,0,6.6,2.7,NaN,10.5
Buenos Aires,Carlos Casares,570,2020-09-30,2020-09-27,120,70,426,74,1,493,0,0.007,0.014,0.142,3,0.043,1,0.014,1,0.014,13.9,3.2,NaN,NaN
Buenos Aires,Carlos Tejedor,207,2020-09-30,2020-09-24,75,56,143,7,0,192,1,0,0,0.292,1,0.018,0,0,0,0,7.9,3.9,NaN,NaN
Buenos Aires,Carmen de Areco,448,2020-09-28,2020-09-28,106,86,342,20,2,421,0,0.019,0.023,0.204,5,0.058,1,0.012,1,0.012,6.2,3.4,5,10.5
Buenos Aires,Castelli,262,2020-09-30,2020-09-27,70,117,117,28,0,203,0,0,0,0.576,8,0.068,1,0.009,0,0,6.1,5,3,NaN
Buenos Aires,Cañuelas,3725,2020-09-30,2020-09-29,171,1452,2150,122,26,3569,1,0.017,0.018,0.407,90,0.062,7,0.005,4,0.003,5.9,3.4,4,11
Buenos Aires,Chacabuco,1369,2020-09-30,2020-09-29,155,203,1081,85,2,1259,0,0.007,0.01,0.161,8,0.039,2,0.01,2,0.01,4.1,2.2,9.5,16
Buenos Aires,Chascomús,1598,2020-09-30,2020-09-28,141,607,907,50,14,1497,34,0.021,0.023,0.405,24,0.04,9,0.015,2,0.003,7.5,4.3,5.9,9
Buenos Aires,Chivilcoy,3020,2020-09-30,2020-09-30,173,819,2009,191,19,2754,1,0.019,0.023,0.297,26,0.032,6,0.007,3,0.004,3.4,1.7,6.3,10.1
Buenos Aires,Colón,844,2020-09-30,2020-09-28,104,425,339,80,15,759,0,0.03,0.035,0.56,39,0.092,5,0.012,3,0.007,8.3,4.4,3.4,10.5
Buenos Aires,Coronel Dorrego,178,2020-09-28,2020-09-28,71,37,104,37,0,141,0,0,0,0.262,1,0.027,0,0,0,0,3.7,3,NaN,NaN
Buenos Aires,Coronel Pringles,654,2020-09-26,2020-09-26,86,232,290,131,6,515,1,0.017,0.026,0.45,6,0.026,2,0.009,0,0,4.1,2.5,2,11.8
Buenos Aires,Coronel Suárez,727,2020-09-29,2020-09-29,101,96,349,282,0,418,0,0,0,0.23,1,0.01,0,0,0,0,3.2,2.1,NaN,NaN
Buenos Aires,Coronel de Marina L. Rosales,1260,2020-09-29,2020-09-30,143,490,555,215,19,1015,0,0.027,0.039,0.483,49,0.1,5,0.01,4,0.008,6.1,4.8,2.4,11.4
Buenos Aires,Daireaux,195,2020-09-29,2020-09-29,86,17,172,6,0,180,0,0,0,0.094,2,0.118,0,0,0,0,5.9,3.4,NaN,NaN
Buenos Aires,Dolores,1231,2020-09-30,2020-09-28,113,586,600,44,9,1151,1,0.014,0.015,0.509,13,0.022,4,0.007,2,0.003,6.5,4.7,13,16.1
Buenos Aires,Ensenada,4398,2020-09-30,2020-09-30,178,1400,2750,202,14,3916,46,0.009,0.01,0.358,53,0.038,10,0.007,5,0.004,6.8,3.4,6.4,25.9
Buenos Aires,Escobar,16233,2020-09-30,2020-09-30,195,6332,8909,990,159,14867,2,0.022,0.025,0.426,540,0.085,63,0.01,32,0.005,6,3.7,8.4,19.5
Buenos Aires,Esteban Echeverría,24590,2020-09-30,2020-09-29,200,11460,12060,1066,248,21696,4,0.02,0.022,0.528,585,0.051,79,0.007,32,0.003,6.8,5,6.3,15.4
