residencia_provincia_nombre,sexo,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
Buenos Aires,F,508063,2020-09-30,2020-09-30,213,203243,267099,37567,4294,451207,154,0.018,0.021,0.45,13388,0.066,1684,0.008,687,0.003,6.4,4.1,5.7,14
Buenos Aires,M,494654,2020-09-30,2020-09-30,215,211657,244718,38130,5572,440155,149,0.022,0.026,0.481,16212,0.077,2710,0.013,1292,0.006,6,4,6,15.4
Buenos Aires,NR,3836,2020-09-30,2020-09-30,167,1506,1707,620,78,3112,3,0.037,0.052,0.484,130,0.086,25,0.017,11,0.007,6,4.5,4.4,13.6
CABA,F,192882,2020-09-30,2020-09-30,214,63042,121956,7867,1588,171419,17,0.022,0.025,0.368,9211,0.146,802,0.013,386,0.006,4.7,3.5,5.2,15.2
CABA,M,165479,2020-09-30,2020-09-30,213,61488,97227,6747,1808,147910,17,0.026,0.029,0.416,9830,0.16,1346,0.022,699,0.011,4.6,3.5,6.4,18
CABA,NR,1474,2020-09-30,2020-09-28,172,484,855,135,34,1166,0,0.055,0.07,0.415,125,0.258,19,0.039,12,0.025,4.8,3.8,4.4,14.8
Catamarca,F,2067,2020-09-30,2020-09-26,154,90,1953,22,0,2032,2,0,0,0.044,0,0,0,0,0,0,2.4,0.9,NaN,NaN
Catamarca,M,3795,2020-09-29,2020-09-26,161,196,3570,26,0,3752,3,0,0,0.052,2,0.01,0,0,0,0,4.2,1.4,NaN,NaN
Chaco,F,25767,2020-09-30,2020-09-30,202,4225,20217,1322,109,24341,3,0.02,0.026,0.174,393,0.093,186,0.044,92,0.022,5.5,4.7,6.1,14.5
Chaco,M,24798,2020-09-30,2020-09-29,201,4313,19296,1188,178,23495,1,0.032,0.041,0.184,432,0.1,245,0.057,129,0.03,5.2,4.4,6.3,14.3
Chaco,NR,45,2020-09-24,2020-09-22,36,5,38,2,0,40,0,0,0,0.125,0,0,0,0,0,0,3.7,2.7,NaN,NaN
Chubut,F,6207,2020-09-30,2020-09-30,173,1773,3212,1220,21,4284,2,0.007,0.012,0.414,32,0.018,10,0.006,7,0.004,5.6,4.6,5.7,10.1
Chubut,M,6496,2020-09-30,2020-09-29,177,2166,3064,1262,27,4589,4,0.008,0.012,0.472,34,0.016,15,0.007,13,0.006,5.7,4.6,5.5,8.8
Chubut,NR,70,2020-09-24,2020-09-26,33,15,43,12,1,53,0,0.037,0.067,0.283,1,0.067,0,0,0,0,5.7,5.3,NaN,8
Corrientes,F,5781,2020-09-30,2020-09-29,193,544,4801,434,3,5311,2,0.003,0.006,0.102,4,0.007,4,0.007,1,0.002,5.4,4.1,3.3,4
Corrientes,M,6495,2020-09-30,2020-09-29,191,549,5490,452,15,5978,4,0.015,0.027,0.092,18,0.033,14,0.026,9,0.016,5.7,4.2,6.1,9.8
Córdoba,F,47349,2020-09-30,2020-09-30,203,17172,27151,3014,170,42804,12,0.008,0.01,0.401,188,0.011,52,0.003,25,0.001,7,4.4,4.1,11.5
Córdoba,M,45817,2020-09-30,2020-09-29,205,16994,26102,2710,225,41705,11,0.011,0.013,0.407,224,0.013,67,0.004,30,0.002,6.4,4.5,5.2,12.7
Córdoba,NR,77,2020-09-14,2020-09-28,38,29,30,18,3,59,0,0.064,0.103,0.492,1,0.034,0,0,0,0,3,4.2,NaN,9
Entre Ríos,F,11334,2020-09-30,2020-09-29,191,3779,6752,799,51,9933,4,0.011,0.013,0.38,324,0.086,26,0.007,9,0.002,6.6,5.2,3.9,10.4
Entre Ríos,M,10144,2020-09-30,2020-09-29,191,3699,5732,713,86,8901,0,0.019,0.023,0.416,339,0.092,44,0.012,17,0.005,6.8,5.2,4.6,13.2
Entre Ríos,NR,24,2020-09-27,2020-09-21,16,5,15,4,1,20,0,0.111,0.2,0.25,2,0.4,1,0.2,1,0.2,5.2,4.2,6,5
Formosa,F,550,2020-09-30,2020-09-16,143,22,508,20,1,507,0,0.024,0.045,0.043,9,0.409,0,0,0,0,6.3,11.3,NaN,12
Formosa,M,818,2020-09-30,2020-09-27,150,80,720,18,0,771,0,0,0,0.104,11,0.138,0,0,0,0,1.8,1.6,NaN,NaN
Jujuy,F,18264,2020-09-30,2020-09-30,192,6851,9371,2041,195,16078,1,0.022,0.028,0.426,52,0.008,3,0,3,0,8.2,2.7,2.7,16.2
Jujuy,M,22121,2020-09-30,2020-09-29,189,8795,10887,2437,341,19347,2,0.03,0.039,0.455,98,0.011,12,0.001,6,0.001,7.8,3.8,6.6,16.7
Jujuy,NR,80,2020-09-25,2020-09-10,47,20,42,18,2,62,0,0.053,0.1,0.323,0,0,0,0,0,0,7.1,7.3,NaN,17
La Pampa,F,3709,2020-09-30,2020-09-30,163,404,3184,120,4,3533,1,0.008,0.01,0.114,17,0.042,5,0.012,1,0.002,3.7,3.3,11.2,23
La Pampa,M,3047,2020-09-30,2020-09-30,168,355,2617,72,1,2916,3,0.002,0.003,0.122,12,0.034,3,0.008,1,0.003,4.4,4.2,6.7,27
La Pampa,NR,27,2020-09-25,2020-09-24,15,3,20,4,0,23,0,0,0,0.13,0,0,0,0,0,0,2.7,3,NaN,NaN
La Rioja,F,6679,2020-09-29,2020-09-28,186,2237,4370,70,48,6588,2,0.021,0.021,0.34,21,0.009,6,0.003,2,0.001,14.3,4.1,7.7,11.7
La Rioja,M,7275,2020-09-29,2020-09-29,186,2575,4614,85,73,7159,1,0.027,0.028,0.36,22,0.009,5,0.002,2,0.001,9.3,4.7,2.2,13.7
La Rioja,NR,61,2020-09-23,2020-09-06,43,14,46,1,2,60,0,0.133,0.143,0.233,0,0,0,0,0,0,5.4,4.6,NaN,3.5
Mendoza,F,30622,2020-09-30,2020-09-30,195,12339,14847,3433,120,26541,3,0.008,0.01,0.465,896,0.073,36,0.003,15,0.001,7.7,4.2,4.8,9.9
Mendoza,M,29458,2020-09-30,2020-09-30,202,12609,13474,3370,197,25578,5,0.012,0.016,0.493,958,0.076,106,0.008,42,0.003,6.8,4.5,4.9,11.8
Mendoza,NR,309,2020-09-30,2020-09-25,81,94,167,48,2,253,0,0.014,0.021,0.372,5,0.053,0,0,0,0,6.4,5.8,NaN,1
Misiones,F,2026,2020-09-30,2020-09-28,157,38,1957,31,1,1926,0,0.014,0.026,0.02,18,0.474,2,0.053,1,0.026,15.5,13.5,4.3,3
Misiones,M,2703,2020-09-30,2020-09-20,160,58,2602,42,2,2581,1,0.02,0.034,0.022,21,0.362,3,0.052,1,0.017,13.7,12.7,5.7,10
Neuquén,F,10969,2020-09-30,2020-09-29,197,3917,4281,2770,57,7820,1,0.009,0.015,0.501,2303,0.588,33,0.008,19,0.005,5.7,5,3.9,15.7
Neuquén,M,10490,2020-09-30,2020-09-30,199,3973,3907,2609,87,7545,1,0.013,0.022,0.527,2262,0.569,67,0.017,56,0.014,5.7,5,7.3,18.3
Neuquén,NR,16,2020-09-24,2020-09-11,7,2,6,8,1,8,0,0.1,0.5,0.25,1,0.5,1,0.5,1,0.5,11,9,10,14
Río Negro,F,15654,2020-09-30,2020-09-30,192,6571,8367,710,154,14280,6,0.021,0.023,0.46,1308,0.199,42,0.006,24,0.004,5,3.1,5.9,12.8
Río Negro,M,13834,2020-09-30,2020-09-29,196,6264,6915,654,223,12594,1,0.032,0.036,0.497,1311,0.209,82,0.013,60,0.01,4.6,3.2,5.5,14.8
Río Negro,NR,21,2020-09-30,2020-09-22,14,4,10,7,0,14,0,0,0,0.286,2,0.5,0,0,0,0,7,9,NaN,NaN
SIN ESPECIFICAR,F,3462,2020-09-30,2020-09-29,175,1346,1897,219,6,3066,0,0.004,0.004,0.439,79,0.059,9,0.007,3,0.002,6.4,4,5.2,16.7
SIN ESPECIFICAR,M,2285,2020-09-30,2020-09-28,174,918,1235,132,8,2020,0,0.008,0.009,0.454,71,0.077,8,0.009,6,0.007,5.5,3.7,4,19.9
SIN ESPECIFICAR,NR,26,2020-09-22,2020-07-22,18,5,19,2,1,23,0,0.143,0.2,0.217,1,0.2,1,0.2,1,0.2,3,3,3,12
Salta,F,11809,2020-09-30,2020-09-29,187,5241,5130,1436,112,9973,2,0.017,0.021,0.526,506,0.097,63,0.012,30,0.006,7.7,5.8,5.7,11
Salta,M,15112,2020-09-30,2020-09-30,183,7131,6344,1637,226,13071,0,0.026,0.032,0.546,745,0.104,141,0.02,85,0.012,7.6,5.9,6.3,11.8
Salta,NR,100,2020-09-30,2020-09-23,37,39,46,15,0,83,0,0,0,0.47,2,0.051,0,0,0,0,7,8.9,NaN,NaN
San Juan,F,1064,2020-09-29,2020-09-29,180,320,665,79,20,874,0,0.05,0.062,0.366,25,0.078,8,0.025,1,0.003,4.7,3.9,4,11.5
San Juan,M,1291,2020-09-30,2020-09-28,174,396,812,83,16,1090,0,0.033,0.04,0.363,15,0.038,5,0.013,2,0.005,8,6.5,4.2,10.3
San Luis,F,3083,2020-09-30,2020-09-28,155,674,1579,827,2,2222,3,0.001,0.003,0.303,25,0.037,0,0,0,0,12.3,5.4,NaN,16
San Luis,M,3199,2020-09-30,2020-09-26,161,808,1721,664,4,2508,6,0.003,0.005,0.322,34,0.042,2,0.002,0,0,7.3,4.5,7.5,11.5
Santa Cruz,F,5734,2020-09-30,2020-09-30,171,2354,3015,361,20,5174,4,0.007,0.008,0.455,123,0.052,24,0.01,15,0.006,5.8,4.7,7,16.9
Santa Cruz,M,5556,2020-09-30,2020-09-30,181,2479,2748,326,41,5053,3,0.015,0.017,0.491,152,0.061,37,0.015,23,0.009,5.5,4.5,7.7,15.2
Santa Cruz,NR,8,2020-09-24,2020-08-24,6,4,2,2,0,6,0,0,0,0.667,0,0,0,0,0,0,2,2,NaN,NaN
Santa Fe,F,47896,2020-09-30,2020-09-29,199,21499,22896,3496,197,42501,5,0.008,0.009,0.506,534,0.025,127,0.006,65,0.003,6.3,6.9,4.7,11.3
Santa Fe,M,43540,2020-09-30,2020-09-29,201,20887,19540,3107,248,39012,6,0.01,0.012,0.535,648,0.031,178,0.009,106,0.005,6.1,6.7,5.4,13.4
Santa Fe,NR,60,2020-09-29,2020-09-29,35,12,37,11,1,47,0,0.043,0.083,0.255,1,0.083,0,0,0,0,6.2,5.8,NaN,NaN
Santiago del Estero,F,6352,2020-09-29,2020-09-30,172,1537,3774,1041,22,4915,0,0.009,0.014,0.313,5,0.003,1,0.001,1,0.001,4.8,3.8,5,6.8
Santiago del Estero,M,9921,2020-09-29,2020-09-29,178,1877,6945,1097,39,8540,2,0.013,0.021,0.22,20,0.011,4,0.002,1,0.001,5.1,3.7,5.3,14.5
Santiago del Estero,NR,342,2020-09-16,2020-08-07,92,5,329,8,0,332,0,0,0,0.015,0,0,0,0,0,0,18,8,NaN,NaN
Tierra del Fuego,F,5939,2020-09-30,2020-09-29,190,1996,3546,395,22,5049,2,0.009,0.011,0.395,39,0.02,7,0.004,6,0.003,7.9,11,12,14.1
Tierra del Fuego,M,6141,2020-09-30,2020-09-29,194,2350,3405,381,44,5309,5,0.016,0.019,0.443,61,0.026,29,0.012,25,0.011,6.4,9.5,10.4,18.8
Tierra del Fuego,NR,21,2020-09-26,2020-04-23,6,14,6,1,0,6,0,0,0,2.333,0,0,0,0,0,0,2,2,NaN,NaN
Tucumán,F,20730,2020-09-30,2020-09-30,196,7264,7102,6361,47,14243,3,0.003,0.006,0.51,109,0.015,19,0.003,3,0,8.4,3.8,3.2,9.8
Tucumán,M,25097,2020-09-30,2020-09-30,195,7633,11023,6437,86,18514,4,0.006,0.011,0.412,157,0.021,24,0.003,9,0.001,8.4,3.9,4.5,10.2
Tucumán,NR,54,2020-09-28,2020-09-29,21,9,17,28,0,26,0,0,0,0.346,0,0,0,0,0,0,NaN,NaN,NaN,NaN
