sepi_apertura,n,max_fecha_diagnostico,max_fecha_inicio_sintomas,count_fecha_diagnostico,confirmados,descartados,sospechosos,fallecidos,tests,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento,dias.inicio,confirmados.inc,confirmados.rate,fallecidos.inc,tests.inc,tests.rate,sospechosos.inc
10,127,2020-05-29,2020-03-07,19,15,105,7,1,85,0,0.045,0.067,0.176,9,0.6,2,0.133,2,0.133,5,2.9,3.5,3,5,NA,NA,NA,NA,NA,NA
11,806,2020-08-01,2020-07-11,38,97,668,41,9,666,0,0.065,0.093,0.146,66,0.68,12,0.124,6,0.062,11.5,2,4.2,26.2,6,NA,NA,NA,NA,NA,NA
12,2373,2020-08-01,2020-07-11,61,413,1861,99,17,2049,0,0.033,0.041,0.202,255,0.617,38,0.092,22,0.053,9.1,3.2,7,25.8,7,NA,NA,NA,NA,NA,NA
13,6085,2020-08-01,2020-07-11,94,1085,4790,210,63,5517,0,0.049,0.058,0.197,600,0.553,102,0.094,61,0.056,9.7,4,6.2,20.5,8,NA,NA,NA,NA,NA,NA
14,12355,2020-08-06,2020-07-30,126,1777,10183,395,114,11538,0,0.052,0.064,0.154,974,0.548,168,0.095,100,0.056,10.6,4.7,6.5,19,9,NA,NA,NA,NA,NA,NA
15,21337,2020-08-06,2020-07-30,149,2442,18299,596,179,20257,0,0.059,0.073,0.121,1323,0.542,220,0.09,124,0.051,11.3,5,6.2,19.2,10,NA,NA,NA,NA,NA,NA
16,33269,2020-08-06,2020-07-30,159,3243,29149,877,236,31862,0,0.057,0.073,0.102,1674,0.516,261,0.08,143,0.044,11.9,4.9,6.3,19.2,11,NA,NA,NA,NA,NA,NA
17,47655,2020-08-06,2020-08-04,162,4359,42165,1131,341,45914,0,0.062,0.078,0.095,2195,0.504,316,0.072,167,0.038,12.5,4.6,6.7,18.4,12,NA,NA,NA,NA,NA,NA
18,61133,2020-08-06,2020-08-04,162,5363,54396,1374,417,59107,0,0.062,0.078,0.091,2594,0.484,350,0.065,186,0.035,12.5,4.3,6.6,18.7,13,NA,NA,NA,NA,NA,NA
19,75588,2020-08-06,2020-08-04,162,6807,67129,1652,498,73240,0,0.059,0.073,0.093,3181,0.467,415,0.061,215,0.032,11.9,4.1,6.3,19.2,14,NA,NA,NA,NA,NA,NA
20,93429,2020-08-06,2020-08-05,162,9209,82135,2084,593,90605,1,0.053,0.064,0.102,4024,0.437,512,0.056,264,0.029,11.1,3.9,6.4,20,15,NA,NA,NA,NA,NA,NA
21,117714,2020-08-06,2020-08-05,162,13579,101239,2894,745,114040,2,0.045,0.055,0.119,5342,0.393,662,0.049,336,0.025,9.7,3.8,6.3,19.4,16,NA,NA,NA,NA,NA,NA
22,143930,2020-08-06,2020-08-05,162,18816,121390,3722,930,139401,2,0.041,0.049,0.135,6783,0.36,827,0.044,413,0.022,8.8,3.7,6.2,19.1,17,NA,NA,NA,NA,NA,NA
23,173365,2020-08-06,2020-08-05,162,25250,143242,4871,1148,167665,2,0.038,0.045,0.151,8314,0.329,1034,0.041,490,0.019,8.2,3.7,5.9,18.7,18,NA,NA,NA,NA,NA,NA
24,210153,2020-08-06,2020-08-05,162,34858,168751,6541,1398,202754,3,0.034,0.04,0.172,10446,0.3,1261,0.036,591,0.017,7.6,3.7,5.8,18.5,19,NA,NA,NA,NA,NA,NA
25,253232,2020-08-06,2020-08-05,162,47676,197312,8240,1713,244118,4,0.031,0.036,0.195,12782,0.268,1500,0.031,688,0.014,7,3.6,5.7,18.1,20,NA,NA,NA,NA,NA,NA
26,308336,2020-08-06,2020-08-05,162,65351,231562,11419,2110,296003,4,0.027,0.032,0.221,15818,0.242,1811,0.028,812,0.012,6.6,3.7,5.6,17.2,21,NA,NA,NA,NA,NA,NA
27,363175,2020-08-06,2020-08-05,162,83947,263540,15683,2551,346546,5,0.026,0.03,0.242,18550,0.221,2134,0.025,934,0.011,6.3,3.7,5.5,16.5,22,NA,NA,NA,NA,NA,NA
28,426001,2020-08-06,2020-08-05,163,107133,298927,19935,3066,405089,6,0.024,0.029,0.264,21745,0.203,2494,0.023,1097,0.01,6.1,3.7,5.4,15.8,23,NA,NA,NA,NA,NA,NA
29,503539,2020-08-06,2020-08-05,164,135535,340960,27032,3579,475494,12,0.022,0.026,0.285,25086,0.185,2869,0.021,1262,0.009,5.9,3.8,5.4,15.3,24,NA,NA,NA,NA,NA,NA
30,595425,2020-08-06,2020-08-05,164,171894,387619,35900,3996,558492,12,0.019,0.023,0.308,28246,0.164,3239,0.019,1424,0.008,5.7,3.8,5.3,14.6,25,NA,NA,NA,NA,NA,NA
31,692728,2020-08-29,2020-08-05,165,208234,434102,50378,4199,641288,14,0.016,0.02,0.325,30477,0.146,3486,0.017,1505,0.007,5.7,3.9,5.3,14.3,26,NA,NA,NA,NA,NA,NA
32,773271,2020-08-29,2020-08-06,165,228173,459685,85398,4251,686800,15,0.014,0.019,0.332,31425,0.138,3573,0.016,1537,0.007,5.6,3.9,5.2,14.2,27,NA,NA,NA,NA,NA,NA
