"fecha","provincia","codigo_indec_provincia","departamento","codigo_indec_departamento","localidad","codigo_indec_localidad","origen_financiamiento","tipo","ultima_actualizacion","total","positivos"
"2019-07-13","CABA","02","COMUNA 02","002","RECOLETA","010","Público","Universitario público","2020-08-14","1",
"2020-02-11","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","2",
"2020-02-20","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","1",
"2020-02-20","Buenos Aires","06","Bahía Blanca","056","BAHIA BLANCA","010","Privado","Privado","2020-08-14","1",
"2020-02-25","Santiago del Estero","86","Capital","049","SANTIAGO DEL ESTERO","110","Público","Provincial","2020-08-14","1",
"2020-02-27","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","4",
"2020-02-27","Santiago del Estero","86","Capital","049","SANTIAGO DEL ESTERO","110","Público","Provincial","2020-08-14","1",
"2020-02-28","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","10",
"2020-03-02","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","5",
"2020-03-03","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","8","1"
"2020-03-04","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","6",
"2020-03-05","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","7",
"2020-03-06","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","11","7"
"2020-03-07","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","9","1"
"2020-03-08","Santiago del Estero","86","Capital","049","SANTIAGO DEL ESTERO","110","Público","Provincial","2020-08-14","1",
"2020-03-08","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","28","3"
"2020-03-09","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","13","7"
"2020-03-10","Córdoba","14","Capital","014","CORDOBA","010","Público","Provincial","2020-08-14","1",
"2020-03-10","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","28","2"
"2020-03-11","Santa Fe","82","Rosario","084","ROSARIO","270","Privado","Privado","2020-08-14","1",
"2020-03-11","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","34","5"
"2020-03-12","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","45","12"
"2020-03-12","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","1",
"2020-03-13","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","86","7"
"2020-03-14","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","1",
"2020-03-14","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","1",
"2020-03-14","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","47","7"
"2020-03-15","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","80","11"
"2020-03-16","Buenos Aires","06","Morón","568","VILLA SARMIENTO","010","Público","Nacional","2020-08-14","1",
"2020-03-16","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","103","12"
"2020-03-16","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","2",
"2020-03-17","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","123","19"
"2020-03-17","Buenos Aires","06","Bahía Blanca","056","BAHIA BLANCA","010","Privado","Privado","2020-08-14","1",
"2020-03-17","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","4","1"
"2020-03-18","Santa Fe","82","Rosario","084","ROSARIO","270","Público","Municipal","2020-08-14","1",
"2020-03-18","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","2","2"
"2020-03-18","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","1",
"2020-03-18","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","199","35"
"2020-03-19","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","2",
"2020-03-19","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","4","2"
"2020-03-19","Buenos Aires","06","Bahía Blanca","056","BAHIA BLANCA","010","Privado","Privado","2020-08-14","4",
"2020-03-19","Buenos Aires","06","Morón","568","VILLA SARMIENTO","010","Público","Nacional","2020-08-14","1",
"2020-03-19","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","137","25"
"2020-03-19","Neuquén","58","Confluencia","035","NEUQUEN","070","Público","Provincial","2020-08-14","1","1"
"2020-03-20","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","207","29"
"2020-03-20","Buenos Aires","06","Bahía Blanca","056","BAHIA BLANCA","010","Público","Municipal","2020-08-14","1","1"
"2020-03-20","Santa Fe","82","General López","042","VENADO TUERTO","290","Privado","Privado","2020-08-14","1",
"2020-03-20","Santa Fe","82","Rosario","084","ROSARIO","270","Público","Municipal","2020-08-14","3",
"2020-03-20","Buenos Aires","06","Bahía Blanca","056","BAHIA BLANCA","010","Privado","Privado","2020-08-14","4",
"2020-03-20","CABA","02","COMUNA 04","004","BARRACAS","010","Privado","Privado","2020-08-14","1","1"
"2020-03-20","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","3",
"2020-03-20","Neuquén","58","Confluencia","035","NEUQUEN","070","Público","Provincial","2020-08-14","4","2"
"2020-03-20","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","7","1"
"2020-03-21","Neuquén","58","Confluencia","035","NEUQUEN","070","Público","Provincial","2020-08-14","7","2"
"2020-03-21","Buenos Aires","06","Pilar","638","PRESIDENTE DERQUI","040","Privado","Privado","2020-08-14","1","1"
"2020-03-21","Santa Fe","82","General López","042","VENADO TUERTO","290","Privado","Privado","2020-08-14","1",
"2020-03-21","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Municipal","2020-08-14","6","1"
"2020-03-21","Córdoba","14","Capital","014","CORDOBA","010","Público","Provincial","2020-08-14","24","3"
"2020-03-21","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","1",
"2020-03-21","CABA","02","COMUNA 07","007","FLORES","010","Privado","Privado","2020-08-14","1",
"2020-03-21","Santa Fe","82","Rosario","084","ROSARIO","270","Público","Municipal","2020-08-14","1",
"2020-03-21","Córdoba","14","San Justo","140","SAN FRANCISCO","360","Público","Provincial","2020-08-14","1","1"
"2020-03-21","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","3",
"2020-03-21","Buenos Aires","06","Bahía Blanca","056","BAHIA BLANCA","010","Privado","Privado","2020-08-14","2",
"2020-03-21","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","275","69"
"2020-03-22","Buenos Aires","06","Morón","568","VILLA SARMIENTO","010","Público","Nacional","2020-08-14","1","1"
"2020-03-22","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","166","45"
"2020-03-22","Córdoba","14","Capital","014","CORDOBA","010","Público","Provincial","2020-08-14","22","5"
"2020-03-22","Buenos Aires","06","Vicente López","861","OLIVOS","010","Privado","Privado","2020-08-14","3","2"
"2020-03-22","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","FFAA/Seguridad","2020-08-14","1",
"2020-03-22","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","1",
"2020-03-22","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","3","2"
"2020-03-22","Santa Fe","82","Rosario","084","ROSARIO","270","Público","Municipal","2020-08-14","30","12"
"2020-03-22","Neuquén","58","Confluencia","035","NEUQUEN","070","Público","Provincial","2020-08-14","10","2"
"2020-03-22","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Municipal","2020-08-14","9","2"
"2020-03-23","Buenos Aires","06","Florencio Varela","274","FLORENCIO VARELA","010","Privado","Mixta","2020-08-14","1",
"2020-03-23","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","6","3"
"2020-03-23","Santa Fe","82","Rosario","084","ROSARIO","270","Público","Municipal","2020-08-14","19","2"
"2020-03-23","Neuquén","58","Confluencia","035","NEUQUEN","070","Público","Provincial","2020-08-14","3",
"2020-03-23","CABA","02","COMUNA 04","004","BARRACAS","010","Privado","Privado","2020-08-14","4","2"
"2020-03-23","Buenos Aires","06","Morón","568","VILLA SARMIENTO","010","Público","Nacional","2020-08-14","4","1"
"2020-03-23","Córdoba","14","Capital","014","CORDOBA","010","Público","Provincial","2020-08-14","38","2"
"2020-03-23","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Nacional","2020-08-14","134","16"
"2020-03-23","Chaco","22","San Fernando","140","RESISTENCIA","060","Público","Provincial","2020-08-14","12",
"2020-03-23","CABA","02","COMUNA 04","004","PARQUE PATRICIOS","010","Público","Municipal","2020-08-14","23","8"
"2020-03-23","Tierra del Fuego","94","Ushuaia","014","USHUAIA","020","Público","Provincial","2020-08-14","1","1"
"2020-03-23","Buenos Aires","06","General Pueyrredón","357","MAR DEL PLATA","110","Público","Nacional","2020-08-14","22","3"
"2020-03-23","Buenos Aires","06","Pilar","638","PRESIDENTE DERQUI","040","Privado","Privado","2020-08-14","4","3"
"2020-03-23","CABA","02","COMUNA 02","002","RECOLETA","010","Privado","Privado","2020-08-14","14","1"
"2020-03-24","Córdoba","14","Capital","014","CORDOBA","010","Público","Provincial","2020-08-14","39","6"
"2020-03-24","Chaco","22","San Fernando","140","RESISTENCIA","060","Público","Provincial","2020-08-14","31","5"
"2020-03-24","CABA","02","COMUNA 01","001","RETIRO","010","Privado","Privado","2020-08-14","7","2"
"2020-03-24","Neuquén","58","Confluencia","035","NEUQUEN","070","Público","Provincial","2020-08-14","17","1"
"2020-03-24","Buenos Aires","06","Pilar","638","PILAR","040","Público","Municipal","2020-08-14","1",
"2020-03-24","Buenos Aires","06","Pilar","638","PRESIDENTE DERQUI","040","Privado","Privado","2020-08-14","6","3"
